index,image_id,filename,image_path,image_match,category,mean_human_complexity_rating,human_rating_count,human_rating_variance,human_rating_sd,text.no_text,text.axes_labels,text.axes_text,text.titles,text.annotations,text.captions,text.legend_text,text.legend_title,text.text_only,color.black_and_white,color.background_color,color.color_count,data.quantitative,data.categorical,design.chart_count,design.chart_types_count,design.multi_panel,design.area,design.bar,design.circle,design.diagram,design.distribution,design.grid_or_matrix,design.line,design.map,design.point,design.table,design.text,design.trees_or_networks
10,10.png,v487_n7406_20_f1.png,data/science/v487_n7406_20_f1.png,exact,S,78.4,10,298.7111111111111,17.283261009170438,0,1,1,0,1,0,1,0,0,0,0,6,2,3,3,3,1,0,1,0,0,1,0,1,0,0,0,0,0
11,11.png,wsj311.png,data/news/wsj311.png,exact,N,14.6,10,216.04444444444442,14.698450409633134,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,12.png,visMost323.png,data/vis1/visMost323.png,exact,I,70.1,10,372.76666666666665,19.30716619979915,0,0,1,1,1,1,0,0,0,0,0,1,1,2,4,3,1,1,0,0,1,0,0,0,1,0,0,0,0
13,13.png,vis276.png,data/vis2/vis276.png,exact,I,47.3,10,1147.7888888888888,33.87903317523817,0,0,0,1,1,1,0,0,0,0,1,4,0,1,4,3,1,0,1,1,0,1,0,0,0,0,0,0,0
14,14.png,v484_n7393_16_f4.png,data/science/v484_n7393_16_f4.png,exact,S,90.2,10,91.5111111111111,9.566144004305555,0,1,1,1,0,0,1,1,0,0,0,8,6,4,15,4,1,0,1,0,0,0,1,1,0,1,0,0,0
15,15.png,vis510.png,data/vis3/vis510.png,exact,I,57.5,10,985.8333333333334,31.397982950077118,0,0,0,1,1,1,0,0,0,0,1,7,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,16.png,v486_n7401_14_f4.png,data/science/v486_n7401_14_f4.png,exact,S,77.4,10,156.26666666666668,12.500666648889837,0,1,1,0,1,0,1,0,0,0,0,6,2,2,5,2,1,0,1,0,0,0,0,0,0,0,1,0,0
17,17.png,whoI06.png,data/government/whoI06.png,exact,G,57.3,10,500.4555555555555,22.370863987686203,0,1,1,0,1,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18,18.png,visMost445.png,data/vis1/visMost445.png,exact,I,61.0,10,964.4444444444445,31.055505863605642,0,0,1,1,1,1,0,0,0,0,1,10,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,19.png,economist_daily_chart_287.png,data/news/economist_daily_chart_287.png,exact,N,32.1,10,970.3222222222223,31.149995541287357,0,1,1,1,0,1,1,1,0,0,1,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,20.png,wsj477.png,data/news/wsj477.png,exact,N,30.7,10,400.23333333333335,20.00583248288692,0,0,0,1,1,1,0,0,0,0,1,7,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
21,21.png,vis538.png,data/vis3/vis538.png,exact,I,54.9,10,991.6555555555556,31.490562960283125,0,0,0,1,1,1,0,0,0,0,1,5,0,1,6,3,1,0,1,1,0,0,0,1,0,0,0,0,0
22,22.png,vis89.png,data/vis2/vis89.png,exact,I,46.8,10,835.5111111111112,28.905209065341687,0,0,0,1,1,0,1,0,0,0,1,6,0,1,3,3,1,0,1,1,0,0,0,0,0,0,0,0,1
23,23.png,v484_n7393_18_f1.png,data/science/v484_n7393_18_f1.png,exact,S,77.2,10,580.8444444444444,24.10071460443537,0,0,0,0,1,0,0,0,0,0,0,5,0,3,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0
24,24.png,wsj339.png,data/news/wsj339.png,exact,N,44.7,10,625.3444444444444,25.006887940014536,0,0,0,1,1,1,0,0,0,0,0,4,1,1,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0
25,25.png,visMost479.png,data/vis1/visMost479.png,exact,I,79.4,10,547.8222222222222,23.40560236828401,0,0,0,1,1,0,0,0,0,0,1,5,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26,26.png,vis76.png,data/vis2/vis76.png,exact,I,40.8,10,786.4,28.042824394129774,0,1,1,1,1,1,0,0,0,0,1,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
27,27.png,whoQ52_1.png,data/government/whoQ52_1.png,exact,G,20.4,10,292.26666666666665,17.095808453146248,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
28,28.png,visMost492.png,data/vis1/visMost492.png,exact,I,74.7,10,602.4555555555555,24.544970066299847,0,0,1,1,1,1,0,0,0,0,1,8,0,1,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0
29,29.png,whoG09.png,data/government/whoG09.png,exact,G,35.4,10,662.9333333333334,25.747491787227226,0,1,1,1,0,0,1,0,0,0,0,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
30,30.png,economist_daily_chart_250.png,data/news/economist_daily_chart_250.png,exact,N,36.6,10,668.9333333333333,25.863745539525656,0,1,1,1,0,1,1,0,0,0,1,4,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
31,31.png,v485_n7396_15_f3.png,data/science/v485_n7396_15_f3.png,exact,S,54.1,10,754.1,27.460881267723366,0,1,1,0,0,0,1,0,0,0,0,3,4,2,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0
32,32.png,np_27.png,data/news/np_27.png,exact,N,64.3,10,689.3444444444444,26.255369821132675,0,0,1,1,1,0,1,0,0,0,0,2,5,2,11,4,1,0,1,1,0,1,0,0,1,0,0,0,0
33,33.png,v483_n7387_14_f5.png,data/science/v483_n7387_14_f5.png,exact,S,81.5,10,242.27777777777777,15.565274741480723,0,1,1,0,0,1,1,0,0,0,0,3,4,5,6,3,1,0,1,0,0,1,0,1,0,0,0,0,0
34,34.png,whoQ17_1.png,data/government/whoQ17_1.png,exact,G,70.5,10,516.9444444444445,22.736412303713276,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,35.png,v490_n7419_9_f2.png,data/science/v490_n7419_9_f2.png,exact,S,75.6,10,627.6,25.051946032194785,0,1,1,0,0,0,1,1,0,0,1,7,3,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0
36,36.png,treasuryA13.png,data/government/treasuryA13.png,exact,G,52.8,10,540.6222222222221,23.251284313392716,0,1,1,1,1,1,0,0,0,0,0,7,2,3,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0
37,37.png,economist_daily_chart_522.png,data/news/economist_daily_chart_522.png,exact,N,36.4,10,1027.3777777777777,32.05273432607237,0,0,1,1,1,1,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
38,38.png,economist_daily_chart_244.png,data/news/economist_daily_chart_244.png,exact,N,28.9,10,819.6555555555555,28.629627233960896,0,0,0,1,0,1,0,0,1,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,39.png,v489_n7416_8_f3.png,data/science/v489_n7416_8_f3.png,exact,S,70.0,10,904.6666666666666,30.077677215281547,0,1,1,0,1,0,0,0,0,0,0,8,2,1,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0
40,40.png,v490_n7420_1_f2.png,data/science/v490_n7420_1_f2.png,exact,S,83.4,10,171.15555555555557,13.082643293904928,0,1,1,0,0,0,0,0,0,0,0,4,11,5,12,3,1,0,1,0,1,0,0,0,0,1,0,0,0
41,41.png,vis62.png,data/vis2/vis62.png,exact,I,44.4,10,1034.0444444444445,32.15656145243836,0,0,1,1,1,1,0,0,0,0,1,6,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0
42,42.png,visMost486.png,data/vis1/visMost486.png,exact,I,41.0,10,1150.4444444444443,33.91820225844,0,0,0,1,1,0,0,0,1,0,1,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
43,43.png,v487_n7405_11_f1.png,data/science/v487_n7405_11_f1.png,exact,S,65.4,10,1135.1555555555556,33.69206962410525,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
44,44.png,v485_n7397_13_f1.png,data/science/v485_n7397_13_f1.png,exact,S,81.0,10,188.0,13.711309200802088,0,1,1,0,0,0,1,0,0,0,0,5,2,2,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0
45,45.png,whoP04.png,data/government/whoP04.png,exact,G,49.5,10,637.1666666666666,25.242160499186014,0,1,1,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,46.png,v483_n7391_21_f2.png,data/science/v483_n7391_21_f2.png,exact,S,84.3,10,156.23333333333332,12.499333315554606,0,0,0,0,1,0,0,0,0,0,0,8,0,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0
47,47.png,v485_n7399_8_f1.png,data/science/v485_n7399_8_f1.png,exact,S,74.9,10,241.2111111111111,15.530972638927386,0,0,1,0,1,0,0,0,0,0,0,4,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
48,48.png,treasuryA2.png,data/government/treasuryA2.png,exact,G,42.3,10,674.0111111111111,25.961723962616794,0,0,1,1,1,1,0,0,0,0,0,3,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0
49,49.png,whoN16_2.png,data/government/whoN16_2.png,exact,G,31.3,10,591.7888888888889,24.326711427747256,0,0,0,1,0,1,0,0,0,0,1,7,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50,50.png,vis289.png,data/vis2/vis289.png,exact,I,59.0,10,517.3333333333334,22.744962812309307,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,51.png,v482_n7386_14_f3.png,data/science/v482_n7386_14_f3.png,exact,S,81.3,10,260.23333333333335,16.131749233524967,0,0,1,0,0,0,1,0,0,0,0,5,2,3,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0
52,52.png,economist_daily_chart_278.png,data/news/economist_daily_chart_278.png,exact,N,39.4,10,1142.7111111111112,33.804010281490434,0,1,1,1,0,1,1,0,0,0,1,3,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
53,53.png,whoP10.png,data/government/whoP10.png,exact,G,41.3,10,848.6777777777778,29.132074724910648,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
54,54.png,wsj488.png,data/news/wsj488.png,exact,N,33.5,10,799.6111111111111,28.277395762536393,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55,55.png,v488_n7410_17_f1.png,data/science/v488_n7410_17_f1.png,exact,S,77.8,10,282.4,16.804761230080004,0,1,1,0,0,0,1,0,0,0,0,1,4,5,8,2,1,0,1,0,1,0,0,0,0,0,0,0,0
56,56.png,v485_n7398_12_f1.png,data/science/v485_n7398_12_f1.png,exact,S,56.7,10,599.3444444444444,24.481512298966425,0,0,1,1,0,0,1,0,0,0,0,6,2,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0
57,57.png,economist_daily_chart_95.png,data/news/economist_daily_chart_95.png,exact,N,53.1,10,479.2111111111111,21.890891053383623,0,0,0,1,1,0,1,1,0,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
58,58.png,wsj107.png,data/news/wsj107.png,exact,N,38.3,10,700.0111111111111,26.45772309007544,0,0,1,1,1,1,0,0,0,0,0,3,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
59,59.png,visMost135.png,data/vis1/visMost135.png,exact,I,33.5,10,675.3888888888889,25.98824520603284,0,0,0,1,0,0,1,0,0,0,0,7,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
60,60.png,visMost653.png,data/vis1/visMost653.png,exact,I,17.1,10,195.65555555555554,13.987693003335309,0,0,0,1,0,1,0,0,0,0,1,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
61,61.png,v483_n7390_5_f2.png,data/science/v483_n7390_5_f2.png,exact,S,74.8,10,235.2888888888889,15.33912933933634,0,1,1,1,0,0,0,0,0,0,0,3,3,1,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0
62,62.png,whoK10.png,data/government/whoK10.png,exact,G,38.7,10,663.1222222222223,25.751159628689003,0,0,0,1,0,0,1,0,0,0,0,4,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
63,63.png,vis706.png,data/vis3/vis706.png,exact,I,71.7,10,884.2333333333333,29.736061160371147,0,0,1,1,1,0,0,0,0,0,1,20,5,2,2,3,1,0,0,1,0,0,0,1,0,0,0,0,1
64,64.png,v484_n7394_2_f2.png,data/science/v484_n7394_2_f2.png,exact,S,64.5,10,833.8333333333334,28.87617241487059,0,1,1,1,0,0,1,0,0,0,0,6,4,4,5,4,1,1,1,0,0,1,0,1,0,0,0,0,0
65,65.png,treasuryD07_2.png,data/government/treasuryD07_2.png,exact,G,28.8,10,488.62222222222226,22.104800886283105,0,0,0,1,0,1,0,0,1,0,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
66,66.png,v485_n7396_23_f2.png,data/science/v485_n7396_23_f2.png,exact,S,63.6,10,464.93333333333334,21.562312801119766,0,1,1,0,1,0,1,0,0,0,0,6,3,2,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0
67,67.png,v483_n7387_7_f1.png,data/science/v483_n7387_7_f1.png,exact,S,73.0,10,383.1111111111111,19.573224341204263,0,1,1,1,1,0,0,0,0,0,0,9,2,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0
68,68.png,visMost647.png,data/vis1/visMost647.png,exact,I,51.9,10,636.1,25.221022976873876,0,0,0,1,0,1,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
69,69.png,vis712.png,data/vis3/vis712.png,exact,I,26.1,10,267.2111111111111,16.34659325704017,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
70,70.png,v484_n7395_2_f2.png,data/science/v484_n7395_2_f2.png,exact,S,78.8,10,749.5111111111111,27.377200571115942,0,1,1,1,1,0,0,0,0,0,1,9,2,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0
71,71.png,visMost121.png,data/vis1/visMost121.png,exact,I,36.6,10,556.7111111111111,23.594726341093917,0,0,0,1,1,1,0,0,0,0,0,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
72,72.png,v483_n7391_5_f2.png,data/science/v483_n7391_5_f2.png,exact,S,83.3,10,152.9,12.365273955719704,0,1,1,1,1,0,0,0,0,0,0,3,1,1,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0
73,73.png,economist_daily_chart_81.png,data/news/economist_daily_chart_81.png,exact,N,35.5,10,695.8333333333334,26.378652985574025,0,0,1,1,0,1,0,0,0,0,0,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
74,74.png,wsj113.png,data/news/wsj113.png,exact,N,26.6,10,241.6,15.543487382180357,0,0,0,1,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
75,75.png,visMost109.png,data/vis1/visMost109.png,exact,I,45.7,10,1002.6777777777778,31.665087679931943,0,0,0,1,1,0,0,0,0,0,1,5,3,3,6,4,1,0,1,1,1,1,0,0,0,0,0,0,0
76,76.png,v489_n7414_5_f4.png,data/science/v489_n7414_5_f4.png,exact,S,77.3,10,407.34444444444443,20.182775935050273,0,1,1,0,1,0,0,0,0,0,0,7,8,0,4,3,1,0,0,0,0,1,0,1,0,1,0,0,0
77,77.png,v488_n7411_11_f3.png,data/science/v488_n7411_11_f3.png,exact,S,80.3,10,237.34444444444443,15.405987292103172,0,1,1,1,0,0,1,1,0,0,0,9,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
78,78.png,visMost12.png,data/vis1/visMost12.png,exact,I,40.3,10,1252.6777777777777,35.39318829630608,0,0,0,1,1,0,0,0,1,0,1,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
79,79.png,v487_n7408_7_f2.png,data/science/v487_n7408_7_f2.png,exact,S,72.8,10,902.6222222222223,30.04367191643229,0,1,1,1,1,0,0,0,0,0,0,10,4,1,3,3,1,0,0,0,1,0,0,1,0,1,0,0,0
80,80.png,v489_n7415_5_f4.png,data/science/v489_n7415_5_f4.png,exact,S,45.3,10,991.7888888888889,31.492679925482506,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
81,81.png,v483_n7391_17_f3.png,data/science/v483_n7391_17_f3.png,exact,S,75.0,10,682.0,26.115129714401192,0,1,1,1,0,0,1,0,0,1,0,1,6,5,11,3,1,0,1,1,0,0,0,1,0,0,0,0,0
82,82.png,v488_n7410_19_f4.png,data/science/v488_n7410_19_f4.png,exact,S,62.9,10,519.4333333333333,22.791080126517333,0,1,1,0,0,0,0,0,0,1,0,0,1,3,4,2,1,0,1,0,0,0,0,0,0,0,1,0,0
83,83.png,economist_daily_chart_56.png,data/news/economist_daily_chart_56.png,exact,N,58.1,10,739.2111111111111,27.18843708474452,0,0,0,1,0,1,1,1,0,0,1,15,1,1,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0
84,84.png,visMost690.png,data/vis1/visMost690.png,exact,I,52.5,10,1172.5,34.241787336527864,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
85,85.png,whoQ50_3.png,data/government/whoQ50_3.png,exact,G,59.7,10,498.2333333333333,22.321140950527894,0,1,1,1,0,0,1,0,0,0,0,8,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
86,86.png,v487_n7405_1_f5.png,data/science/v487_n7405_1_f5.png,exact,S,80.3,10,303.56666666666666,17.423164657049725,0,1,0,1,1,0,0,0,0,0,0,4,1,3,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0
87,87.png,visMost684.png,data/vis1/visMost684.png,exact,I,50.2,10,983.9555555555555,31.368065856146686,0,1,1,1,0,1,1,0,0,0,1,6,2,3,4,3,1,1,1,0,0,0,0,0,1,0,0,0,0
88,88.png,vis909.png,data/vis3/vis909.png,exact,I,68.9,10,766.3222222222222,27.6825255752112,0,1,0,1,0,0,0,0,0,0,1,16,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
89,89.png,whoC21_2.png,data/government/whoC21_2.png,exact,G,50.4,10,886.2666666666667,29.770231216211048,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
90,90.png,treasuryG06_2.png,data/government/treasuryG06_2.png,exact,G,74.2,10,644.6222222222223,25.389411616306163,0,1,1,0,0,1,1,0,0,0,0,10,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
91,91.png,economist_daily_chart_42.png,data/news/economist_daily_chart_42.png,exact,N,45.2,10,1125.7333333333333,33.551949769474405,0,0,1,1,1,1,1,0,0,0,0,3,3,1,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0
92,92.png,v488_n7412_20_f3.png,data/science/v488_n7412_20_f3.png,exact,S,64.9,10,754.7666666666667,27.47301706523451,0,1,1,0,0,0,1,0,0,1,0,0,5,4,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
93,93.png,whoK27_2.png,data/government/whoK27_2.png,exact,G,39.5,10,987.8333333333334,31.429815992673795,0,1,1,1,1,0,1,0,0,0,0,1,2,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0
94,94.png,v487_n7407_10_f2.png,data/science/v487_n7407_10_f2.png,exact,S,65.2,10,679.0666666666666,26.05890762612022,0,1,1,0,0,0,1,0,0,0,0,5,4,0,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0
95,95.png,v485_n7397_3_f1.png,data/science/v485_n7397_3_f1.png,exact,S,87.6,10,108.71111111111111,10.426462061078587,1,0,0,0,0,0,0,0,0,0,0,4,0,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0
96,96.png,vis921.png,data/vis3/vis921.png,exact,I,41.7,10,443.34444444444443,21.05574611464634,0,0,0,1,1,1,0,0,0,0,1,2,1,2,6,3,1,0,0,1,0,1,0,0,1,0,0,0,0
97,97.png,v485_n7396_3_f1.png,data/science/v485_n7396_3_f1.png,exact,S,77.6,10,536.7111111111111,23.167026376104275,0,1,1,1,1,0,1,0,0,1,0,0,6,1,12,3,1,0,1,0,1,0,0,1,0,0,0,0,0
98,98.png,vis935.png,data/vis3/vis935.png,exact,I,62.2,10,488.4,22.09977375449803,0,1,1,1,1,1,1,0,0,0,1,6,2,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0
99,99.png,v489_n7414_12_f4.png,data/science/v489_n7414_12_f4.png,exact,S,73.1,10,634.3222222222222,25.18575435086712,0,1,1,0,0,0,0,0,0,1,0,0,1,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
100,100.png,v489_n7417_21_f1.png,data/science/v489_n7417_21_f1.png,exact,S,66.9,10,410.76666666666665,20.26737937343323,0,1,1,1,0,0,1,0,0,0,0,10,6,4,8,3,1,0,1,1,1,0,0,0,0,0,0,0,0
101,101.png,v489_n7415_9_f4.png,data/science/v489_n7415_9_f4.png,exact,S,72.4,10,620.2666666666667,24.905153415842808,0,1,1,1,0,0,1,0,0,0,0,11,5,3,3,3,1,0,1,0,0,0,0,1,1,0,0,0,0
102,102.png,whoM02.png,data/government/whoM02.png,exact,G,32.5,10,877.8333333333334,29.62825228280152,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
103,103.png,vis114.png,data/vis2/vis114.png,exact,I,64.0,10,718.6666666666666,26.807959017177467,0,0,1,1,1,1,0,0,0,0,1,6,4,1,12,3,1,0,1,1,0,0,0,0,0,0,1,0,0
104,104.png,v488_n7410_15_f4.png,data/science/v488_n7410_15_f4.png,exact,S,71.0,10,832.6666666666666,28.855964143772194,0,0,1,0,1,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
105,105.png,vis672.png,data/vis3/vis672.png,exact,I,60.3,10,1360.4555555555555,36.88435380422918,0,1,0,1,1,1,1,0,0,0,1,12,5,4,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0
106,106.png,v483_n7389_11_f2.png,data/science/v483_n7389_11_f2.png,exact,S,70.8,10,536.4,23.16031087874254,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0
107,107.png,v489_n7414_9_f4.png,data/science/v489_n7414_9_f4.png,exact,S,72.8,10,482.84444444444443,21.973721679416176,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0
108,108.png,v486_n7403_17_f2.png,data/science/v486_n7403_17_f2.png,exact,S,56.5,10,611.6111111111111,24.730772553867197,0,1,1,0,1,0,1,0,0,0,0,6,2,1,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0
109,109.png,vis666.png,data/vis3/vis666.png,exact,I,64.7,10,420.4555555555555,20.505012937219902,0,0,0,1,1,1,0,0,0,0,1,10,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
110,110.png,visMost733.png,data/vis1/visMost733.png,exact,I,62.4,10,843.6,29.04479299289289,0,1,1,1,0,1,1,0,0,0,0,7,4,4,12,2,1,0,1,1,0,0,0,0,0,0,0,0,0
111,111.png,v483_n7387_20_f1.png,data/science/v483_n7387_20_f1.png,exact,S,78.7,10,680.9,26.094060626893622,0,0,0,0,1,0,0,0,0,0,0,5,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0
112,112.png,v485_n7399_18_f3.png,data/science/v485_n7399_18_f3.png,exact,S,72.9,10,588.9888888888888,24.26909328526488,0,1,1,1,0,0,1,0,0,1,0,7,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0
113,113.png,vis100.png,data/vis2/vis100.png,exact,I,60.8,10,986.8444444444444,31.414080353313615,0,0,0,1,1,1,0,0,0,0,0,2,0,1,6,3,1,0,0,0,1,0,0,0,1,0,1,0,0
114,114.png,vis128.png,data/vis2/vis128.png,exact,I,42.3,10,879.7888888888889,29.661235457898393,0,0,0,1,1,1,0,0,0,0,1,6,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
115,115.png,v489_n7414_7_f1.png,data/science/v489_n7414_7_f1.png,exact,S,81.8,10,209.06666666666666,14.459137825841022,0,1,1,0,1,0,1,0,0,0,0,8,1,2,6,2,1,0,0,0,0,1,1,0,0,0,0,0,0
